Checking { ACCOUNT number=4567219291 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=6853799451 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=9227396214 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=3228962448 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=7390523765 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=4058844989 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=4237545643 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=7968734743 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=4861001452 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=5571755896 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=1897779913 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=7224009272 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=7273324607 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=4567372629 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=5656757156 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=4658050122 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=9264284037 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=5812503543 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=2471715909 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=9861302815 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=2781745084 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=4375988334 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=7843013831 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=3737108208 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
Checking { ACCOUNT number=2946334821 accountType='Checking, accountBalance=1000, interestRate=2.2, overdraft=0.0}
